elapsed_s,replica_id,host,reachable,roster_size,stable_prefix,delivered_ops,retained_ops,pending_ops,known_replicas,peer_count,ops_applied,state_md5
31,c511bb7c0632,c511bb7c0632,1,4,108,112,4,0,4,3,28,420bee4072b7a353fc17939216c1694e
31,33b44baa950d,33b44baa950d,1,4,108,112,4,0,4,3,28,420bee4072b7a353fc17939216c1694e
31,f5d6495eab40,f5d6495eab40,1,4,108,112,4,0,4,3,28,420bee4072b7a353fc17939216c1694e
33,3e42fdfd9872,3e42fdfd9872,1,4,112,116,4,0,4,3,29,fb45b02e797781aa599887a8b48bec83
33,c511bb7c0632,c511bb7c0632,1,4,112,116,4,0,4,3,29,fb45b02e797781aa599887a8b48bec83
33,33b44baa950d,33b44baa950d,1,4,112,116,4,0,4,3,29,fb45b02e797781aa599887a8b48bec83
33,f5d6495eab40,f5d6495eab40,1,4,112,116,4,0,4,3,29,fb45b02e797781aa599887a8b48bec83
34,3e42fdfd9872,3e42fdfd9872,1,4,116,120,4,0,4,3,30,0b82afa35bf003ccc4d36e221b3d9d22
34,c511bb7c0632,c511bb7c0632,1,4,117,120,3,0,4,3,30,0b82afa35bf003ccc4d36e221b3d9d22
34,33b44baa950d,33b44baa950d,1,4,116,120,4,0,4,3,30,0b82afa35bf003ccc4d36e221b3d9d22
34,f5d6495eab40,f5d6495eab40,1,4,116,120,4,0,4,3,30,0b82afa35bf003ccc4d36e221b3d9d22
35,3e42fdfd9872,3e42fdfd9872,1,4,120,124,4,0,4,3,31,80f7c2616b1e876744beb0b16e46b8d2
35,c511bb7c0632,c511bb7c0632,1,4,121,124,3,0,4,3,31,80f7c2616b1e876744beb0b16e46b8d2
35,33b44baa950d,33b44baa950d,1,4,120,124,4,0,4,3,31,80f7c2616b1e876744beb0b16e46b8d2
35,f5d6495eab40,f5d6495eab40,1,4,120,124,4,0,4,3,31,80f7c2616b1e876744beb0b16e46b8d2
36,3e42fdfd9872,3e42fdfd9872,1,4,124,128,4,0,4,3,32,c29a462a9026e220dcfe29ade9b40a8d
36,c511bb7c0632,c511bb7c0632,1,4,125,128,3,0,4,3,32,c29a462a9026e220dcfe29ade9b40a8d
