replica_id,time_matrix_clock_full_ms,time_matrix_clock_incremental_ms
0,278,68
1,277,67
2,276,67
3,275,65
4,275,65
5,275,65
6,274,65
7,274,65
8,274,65
9,275,65
10,275,65
11,274,65
12,274,65
13,275,65
14,275,65
15,276,66
