replica_id,time_matrix_clock_full_ms,time_matrix_clock_incremental_ms
0,1188,146
1,1118,150
2,1170,144
3,1117,141
4,1146,143
5,1120,142
6,1116,144
7,1113,142
8,1120,144
9,1152,143
10,1117,141
11,1130,142
12,1116,142
13,1118,143
14,1115,142
15,1115,142
16,1115,142
17,1160,142
18,1114,142
19,1119,142
20,1127,143
21,1131,142
22,1118,143
23,1119,142
24,1123,146
25,1119,143
26,1114,142
27,1121,143
28,1117,143
29,1120,143
30,1118,143
31,1168,143
